Thales|Everything is water in one form or another.
Anaximander|Everything originated from the ‘apeiron’ (the “infinite” or “indefinite”), rather than from a particular element.
Anaximander|The inhabited portion of the Earth is the flat top face of a cylinder, hanging in space, equidistant to everything else.
Anaximander|The first creatures originated from the moist element by evaporation; humans originated from some other kind of animal.
Anaximander|The world is not eternal and will be destroyed back into the apeiron, from which new worlds will be born.
Anaximenes|Everything comes from air: when it is thinned it becomes fire, when it is condensed it becomes cloud, then water, earth, and stones.
Anaximenes|The earth is a flat disc and floats on air.
Pythagoras|Mathematical order pervades the physical world.
Pythagoras|The soul is immortal and it transmigrates into other kinds of animals.
Pythagoras|We remember a lot of what we know from a previous life.
Xenophanes|We may get nearer and nearer to the truth but our knowledge is our creation; it is in fact conjecture.
Xenophanes|Each group shapes their gods in the likeness of their own.
Heraclitus|Everything is a coming together of opposites: health and disease, good and evil, hot and cold define each other.
Heraclitus|Everything is in flux: on those stepping into rivers staying the same, other and other waters flow.
Heraclitus|This world-order, the same of all, no god nor human did create, but it ever was and is and will be: everliving fire.
Parmenides|There can never have been nothing; everything must always have existed.
Parmenides|It is not possible for anything to pass into nothing; everything is eternal.
Parmenides|The universe is a single unchanging entity; all is one.
Parmenides|What appears as change is something that occurs within an enclosed and unchanging system.
Empedocles|Everything is made up of four elements that are perennial: earth, water, air, and fire.
Protagoras|Man is the measure of all things.
Protagoras|We have no means of knowing whether gods exist or not or of what sort they may be.
Democritus & Leucippus|Everything is made up of indivisible particles (atoms) that are too small to be seen.
Democritus & Leucippus|All change in the universe consists of atoms altering formations or locations.
Democritus & Leucippus|The universe is not a continuum, but consists of separate entities.
Zeno of Elea|A moving thing must travel half way before arriving at the goal, thus an endless sequence of fractions of the total distance; motion is impossible.
Zeno of Elea|The time period of an arrow’s motion is composed of moments and all moments contain an arrow at rest, so the arrow cannot be moving.
Zeno of Elea|An impeccably logical argument can lead to a false conclusion.
Socrates|Knowledge of the universe makes little practical difference; it does not affect our lives, our behaviour.
Socrates|We need to know how to conduct our lives and ourselves.
Socrates|Things like ‘justice’ do exist; not materially, but in some sort of essence.
Socrates|To a person who preserves their integrity no real, long-term harm can ever come.
Socrates|We should pity the perpetrator of injustice, not the victim of injustice.
Socrates|No one really knowingly does wrong.
Socrates|There can be no cut and dried answers; answers themselves are open to question.
Aristippus|Pleasure is the end; it is what goal our actions aim at and what is valuable for its own sake.
Aristippus|We should not defer pleasures that are ready at hand for the sake of future pleasures.
Plato|Everything is an ephemeral and imperfect copy of a permanent Form (or Idea) outside space and time.
Plato|Underlying our messy world, there is another reality with all the perfection of mathematics.
Plato|The underlying reality is accessible to the mind and the intellect; the body (with inaccurate senses, illnesses, fears, desires, etc.) affords us distractions.
Plato|Our souls possess the knowledge of the Forms before our birth; learning after birth is just recollection.
Plato|In our visible world with space and time, everything is becoming, nothing is.
Plato|Our bodies are ephemeral but our souls are our permanent Forms, timeless and indestructible; death frees us from the bodily distractions.
Plato|Our aim in life should be to reject the pleasures of the body and to penetrate to the level of underlying reality.
Plato|Knowledge is true belief (judgment, opinion) with an account of the reason why it is true.
Plato|The moral Forms set the objective moral standards by which human conduct and character should be judged.
Plato|Is the pious loved by the gods because it is pious, or is it pious because it is loved by the gods?
Plato|Human beings are made up of three conflicting elements: passion (desire, appetite), intellect (reason), and will (spirit).
Plato|Virtue is not solely a matter of knowing what is right; intellect should govern passions through the will.
Plato|The only harm that can come to a person is harm to the soul.
Plato|It is better to suffer wrong than to commit it.
Plato|Everything and everybody should be questioned, taking nothing for granted.
Plato|Democracy degenerates into tyranny because most people do not have the intellectual skills to think through difficult political issues.
Plato|A philosophically aware class should govern society through an intermediate police class for the happiness of the whole community.
Plato|Women share by nature in every way of life just as men do, but in all of them women are weaker than men.
Plato|Girls should be brought up on equal terms with boys.
Plato|All artistic creation is a form of imitation (‘mimesis’).
Plato|Art is doubly deceptive, creating illusory semblances of illusory semblances of the Forms; artists have no role in good societies striving for truth.
Plato|A thing is not beautiful because of its shape, color, etc. but because it has a relation with the Form of the beautiful.
Aristotle|There is only one world that we can philosophize about – the one we live in.
Aristotle|If we stray beyond the ground covered by experience we wander into empty talk.
Aristotle|Mind is potentially whatever is thinkable: thinking is like characters being written on an unscribed tablet.
Aristotle|A thing is whatever it is by virtue of its form and structure – and not just by virtue of the materials it is made of.
Aristotle|Individuals are members of a kind of substance because they share a property (an essence) with all and only the other members of that kind.
Aristotle|The material cause of a thing is what it is made of.
Aristotle|The efficient cause of a thing is what does or makes it.
Aristotle|The formal cause of a thing is what gives it the shape by which it is identified.
Aristotle|The final cause of a thing is the ultimate reason for it.
Aristotle|An object’s form, though not material, is inherent in the this-worldly object.
Aristotle|The soul is the form of the body: though not material, it is a system of abilities inherent in animate bodies of suitable structure.
Aristotle|The real point of everything is what it does, what it is for.
Aristotle|Change occurs when the ongoing material that is part of something acquires a new form.
Aristotle|There cannot be an infinite series of moved movers; it must come to a halt in some unmoved mover, which is God.
Aristotle|Spoken words are the symbols of mental experience and written words are the symbols of spoken words.
Aristotle|All men have not the same writings or speech sounds, but the mental experiences which these directly symbolize are the same for all.
Aristotle|Thoughts are ‘likenessess’ (homoiomata) of things.
Aristotle|We may assume the superiority, ceteris paribus, of the demonstration which derives from fewer postulates or hypotheses.
Aristotle|‘Eudaimonia’ (happiness, well-being, flourishing), being something final and self-sufficient, is the end at which all actions aim.
Aristotle|In order to achieve happiness and self-fulfilment, we must be members of a society; humans are political animals and personal isolation is no good.
Aristotle|A good, virtuous person is someone who has ideal character traits; these traits derive from natural internal tendencies, but need to be nurtured.
Aristotle|A virtue (e.g. courage) is the midway point between two extremes (e.g. cowardice and foolhardiness); our aim should be balance.
Aristotle|The purpose of government is to enable its citizens to live the full and happy life.
Aristotle|People with no autonomous rationality – their work is the use of the body, and this is the best that can come from them – are slaves by nature.
Aristotle|The male is by nature superior and the female inferior, the male ruler and the female subject.
Aristotle|Poetry is more philosophical and more serious than history: poetry speaks more of generalities, while history speaks of particulars.
Aristotle|Tragedy is sophisticated and powerful imitation.
Aristotle|Tragedy is done by performers and not by way of narrative, bringing about through pity and fear the purification (‘katharsis’) of such emotions.
Aristotle|Like a plant, a good work of art is an intricate arrangement of parts, all of which are necessary and contribute to the whole.
Eubulides|Starting with one grain, and adding grain after grain, no single grain can make the difference between a number of grains and a heap.
Eubulides|Someone says “What I am now saying is false”; if it is true, it is false; and if it is false, it is true.
Eubulides|A hooded man enters the room and you do not know who he is, but he is in fact your brother; so you do not know who your brother is.
Diogenes|The only thing that matters is the difference between true values and false values.
Diogenes|All social conventions (public/private, naked/clothed, etc.) are nonsense.
Diogenes|I am a citizen of the world.
Pyrrho|People over the world believe in opposite things; knowledge is subjective.
Pyrrho|We cannot assume the truth of one explanation rather than any other.
Pyrrho|We should just go with the flow – the customs of wherever and whenever we happen to live.
Epicurus|All there is in the universe are atoms and space.
Epicurus|Atoms are indestructible and eternal, but their combinations (objects) are always changing.
Epicurus|We, body and mind, are among the ephemeral objects built of atoms.
Epicurus|What enables us to be free is the existence of a certain randomness (swerve) in the motions of our atoms.
Epicurus|Don’t fear death; so long as you exist, death is not, and when death is, you are not.
Epicurus|Gods are far away and have no desire to be involved with us; it’s as if they don’t exist.
Epicurus|Happiness in this world should be our aim.
Epicurus|The way to be happy is to withdraw from public life into private communities of like-minded people.
Epicurus|We should enjoy pleasures in moderation, though no non-injurious activity needs to be forbidden.
Epicurus|The greatest pleasure is attainable through knowledge, friendship, and with freedom from fear.
Epicurus|Justice was never an entity in itself; it is a kind of agreement not to harm or be harmed, made between people in communities.
Zeno of Citium|The substance of God is the whole world and the heaven.
Zeno of Citium|That which reasons is superior to that which does not; nothing is superior to the world, therefore the world reasons.
Zeno of Citium|The nature of the universe is such that it accomplishes what is right and prevents the opposite.
Zeno of Citium|Law of nature is divine, and it has the power to force us to what is right, and to restrain us from what is wrong.
Zeno of Citium|Individual souls are part of the same fire as the world-soul of the universe.
Zeno of Citium|A virtuous life is life in agreement with nature.
Zeno of Citium|A bad feeling (desire, fear, pleasure, sorrow) is a disturbance of the mind repugnant to reason, and against Nature.
Timon of Phlius|Every proof has premises which it does not itself establish; no ultimate ground of certainty exists.
Epictetus|God is immanent in the natural order; he is fully accessible to rational human comprehension in the same way as all objects and events are.
Epictetus|Our rational minds are fragments of God’s mind; our rational nature qualifies us as his kindred.
Epictetus|It is the free volition that is the true self of the individual; our bodies, possessions, successes or failures are contingent facts about us.
Epictetus|Even one’s own death is of no particular concern if that is what the orderly workings of the universe require.
Epictetus|Action is determined by character (what seems right to an individual) and not by spontaneous impulses.
Epictetus|Autonomy is guaranteed not by the absence of antecedent causes but by the very nature of the reasoning faculty.
Epictetus|Our feelings are conditioned by our judgments of value; if we correct our judgments, our feelings will be corrected as well.
Epictetus|The choices made by others are of ethical significance only for the agents themselves; to anyone else they are externals and so of no consequence.
Epictetus|One should not be angry at someone for their bad decision; the proper response would be to help them to see their mistake.
Epictetus|We are naturally oriented toward our own well-being, but acting for our own sake often entails contributing to the common good.
Marcus Aurelius|God is one, pervading all things; all being is one, all law is one (the common reason which all thinking creatures possess) and all truth is one.
Marcus Aurelius|What keeps the whole world in being is Change; Universal Nature’s task is to shuffle, transpose, interchange, remove from one state and transfer to another.
Marcus Aurelius|Whatever happens, happens rightly; in the succession of events there is not mere sequence alone, but a rational order that is just and right.
Marcus Aurelius|Pain or pleasure, death or life, riches or poverty cannot be good or evil since they are all bestowed by Nature on the virtuous and the sinful alike.
Marcus Aurelius|Life is but a moment, body a prey of worms, soul an unquiet eddy, our fortune dark; the Reason, the divine spirit within us is our only guide.
Marcus Aurelius|Grief, anger, or fear are all rejections of something which has been decreed by the power that directs the universe – in other words, by Law.
Marcus Aurelius|Emotions must not affect reason; if they spread to the mind, reason must refrain from adding its own assumptions of their goodness or badness.
Marcus Aurelius|If you are distressed by anything external, it is not due to the thing itself but to your own estimate of it; and you have the power to revoke it.
Marcus Aurelius|All thoughts of blame are out of place: Gods cannot do wrong, people’s misdoings are unintentional, and chance cannot be reprimanded.
Marcus Aurelius|The wickedness of one person cannot injure another; it harms none but the culprit themself.
Marcus Aurelius|A good person welcomes every experience fate may weave for them, keeps the inner divinity in serenity and decorous obedience to God.
Marcus Aurelius|We must wait with a good grace for death; it is no more than a simple dissolving of the elements whereof each living thing is composed.
Marcus Aurelius|Death is a release from impressions of sense, from twitchings of appetite, from excursions of thought, and from service to the flesh.
Marcus Aurelius|Injustice is a sin; nature has constituted rational beings for their own mutual benefit, each to help his fellows according to their worth.
Marcus Aurelius|Our kinship is not of blood or human seed, but of a common intelligence in every person, which is an emanation from the deity.
Marcus Aurelius|The good life is not to be found in wealth, celebrity, or worldly pleasures; it lies in truthfulness, justice, self-discipline, courage, and independence.
Marcus Aurelius|Uniformity of opinion exists only upon things affecting the welfare of society; our consistent aim must be the benefit of our fellows and the community.
Plotinus|What exists is ultimately mental; for something to be created is for it to be thought.
Plotinus|There are three ascending levels of being: soul (humans), intellect, and good.
Plotinus|We should be in an attempted ascent towards one-ness with the good.
Plotinus|The arts do not simply imitate things, but they run back up to the forming principles from which nature derives; they also make up what is defective in things.
Saint Augustine|The flow of time exists for living creatures but not for God; it is created by God.
Saint Augustine|The flow of time does not exist independently of experience.
Saint Augustine|The future does not yet exist and the past no longer exists; the present is the inescapable mode of all existence.
Saint Augustine|Our whole worldly being, including our intellect, is dominated by our will.
Saint Augustine|Even if I am deceived, it is beyond doubt that I am not deceived in that I know myself to be: if I am deceived, I am.
Saint Augustine|There may be other things than our existence that we can know with absolute certainty.
Saint Augustine|Our soul is non-material and timeless, while our bodies are decaying material objects.
Saint Augustine|True knowledge is of a realm of timeless and perfect non-material entities.
Saint Augustine|Objects of the material world are ephemeral and decaying, and our knowledge about them are fleeting illusions.
Saint Augustine|God did not create evil, for evil has no positive nature; the loss of good has received the name “evil”.
Saint Augustine|A creature that sins through free will is more excellent than one that does not sin because it does not have free will.
Saint Augustine|Evils exist by the voluntary sin of the soul to which God gave free choice; if one does not sin by will, one does not sin.
Saint Augustine|People inherit a sinful nature: we do not always sin, as Adam did, by our own personal will, but contract original sin from him.
Saint Augustine|We cannot be saved through our own will alone, God’s intervention and grace are necessary; souls who go to hell are damned by God’s choice.
Saint Augustine|Each person is a citizen of two different communities simultaneously: the eternal kingdom of God and the unstable kingdoms of this world.
Saint Augustine|An unjust law is not actually a law.
Saint Augustine|Philosophers have wished, with amazing folly, to be happy here on Earth; true happiness is only available in Heaven after we die.
John Scotus Erigena|Reason and revelation are both valid ways of arriving at the same truth.
John Scotus Erigena|Since God is unknowable, it is impossible for Him to know himself.
Saint Anselm|The assumption that the greatest being possible exists only in the understanding and not in reality is contradictory because existence is greater than absence.
Saint Anselm|If the greatest being possible (God) exists in the understanding, it must also exist in reality.
Saint Anselm|Truth consists in rectitude: a thing (a sentence, a will) is correct whenever it is or does whatever it ought, or was designed, to be or do.
Saint Anselm|A statement is correct (has rectitude) when, and only when, it signifies that what-is is.
Saint Anselm|Freedom of choice is the power to preserve rectitude of will for its own sake, by self-initiated action.
Saint Anselm|That an agent wills what is right because it is right entails that they are neither compelled nor bribed to perform the act.
Saint Anselm|Freedom of choice neither is nor entails the power to sin; God and the good angels have freedom of choice, but they are incapable of sinning.
Saint Anselm|Human beings abandoned the will for justice and became unable to exercise their freedom; apart from divine grace, they cannot help but sin.
Thomas Aquinas|Reason and faith are very distinct; we believe in answers that are undecidable by reason.
Thomas Aquinas|All our rational knowledge is acquired through sensory experience.
Thomas Aquinas|A baby’s mind is like a clean slate (‘tabula rasa’) with nothing written on it.
Thomas Aquinas|The ‘essence’ of a thing is its description, and it is a separate matter from its existence.
Thomas Aquinas|The world’s essence must have preceded its existence, in God’s mind.
Thomas Aquinas|God’s own essence cannot have preceded his existence; God must be pure existence.
Thomas Aquinas|The universe needs a first mover, a first efficient cause, a necessary being, a perfect being, and an intelligence guiding natural bodies; those are God.
Thomas Aquinas|To know in a general and confused way that God exists is implanted in us by nature.
Thomas Aquinas|We cannot know what God is in this life, but we can, by natural reason, come to know what God is not (not changeable, not in time, etc.).
Thomas Aquinas|The soul is known by its acts; it realizes it exists through the fact that it understands and perceives.
Thomas Aquinas|A judgment is said to be true when it conforms to the external reality.
Thomas Aquinas|Sensation attains to things existing externally outside of the mind; the sense objects (the visible, the audible, etc.) exist outside the soul.
Thomas Aquinas|Thoughts can be about something (exhibit intentionality) because the form of the object thought about is in the mind of the thinker.
Thomas Aquinas|God cannot command cruelty because he is omnipotent: to sin is to fall short of a perfect action, which is repugnant to omnipotence.
Thomas Aquinas|Evil has no formal or final cause, it is a privation of them; it has a cause by way of an agent, not directly, but accidentally.
