REFERENCE                                                              | COUNT
--------------------------------------------------------------------------------
Magee, B. (1998). The Story of Philosophy. DK Pub. | 251
Baldwin, T. (2001). Contemporary Philosophy. Oxford University Press. | 166
Eaton, M. M. (1988). Basic Issues In Aesthetics. Waveland Press. | 22
Aurelius, M. (161–180). Meditations. Translated by M. Staniforth. Penguin. 1964. | 17
Rousseau, J.-J. (1762). The Social Contract. Translated by Christopher Betts. Oxford University Press. 1994. | 17
Ayer, A.J. (1936). Language, Truth, and Logic. London: Gollancz, 2nd Edition. 1946. | 17
May, T. (2005). Gilles Deleuze: An Introduction. Cambridge University Press. | 17
Kemp, G. (n.d.). “Croce’s Aesthetics”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/croce-aesthetics/ | 16
Nichols, R. & Yaffe, G. (n.d.). “Thomas Reid”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/reid/ | 15
Mackie, J. (1977). Ethics: Inventing right and wrong. Pelican Books. | 15
Mill, J. S. (1859). On Liberty. John W. Parker & Son. | 14
Kellner, D. (n.d.). “Jean Baudrillard”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/baudrillard/ | 14
Hart, H.L.A. (1961). The Concept of Law. Oxford: Oxford University Press, 2nd Edition. 1994. | 13
Cohnitz, D., & Rossberg, M. (n.d.). “Nelson Goodman”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/plato/ | 13
Kaye, S. (n.d.). “William of Ockham”. The Internet Encyclopedia of Philosophy. (n.d.). https://iep.utm.edu/ockham/ | 12
Hume, D. (1748). An Enquiry Concerning Human Understanding. | 12
Nietzsche, F. (1887). The Genealogy of Morals. Translator: H. B. Samuel. Dover. 2003. | 12
Candlish, S., & Basile, P. (n.d.). “Francis Herbert Bradley”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/bradley/ | 12
Heidegger, M. (1927). Being and Time. Translated by John Macquarrie & Edward Robinson. Blackwell Publishers. 1962. | 12
Buckingham, W. et al. (2011). The Philosophy Book. DK Pub. | 12
Danto, A. C. (1997). After the end of art: Contemporary art and the pale of history. Princeton University Press. | 12
Stevenson, L. (1974). Seven Theories of Human Nature. Oxford University Press. | 11
Leibniz, G. W. (1714). The Monadology. | 11
Joseph, J. E. (n.d.). “Ferdinand de Saussure”. Oxford Research Encyclopedia of Linguistics. https://oxfordre.com/linguistics/view/10.1093/acrefore/9780199384655.001.0001/acrefore-9780199384655-e-385. | 11
Quine, W. V. O. (1953). From a logical point of view. Harvard University Press. | 11
Graver, M. (n.d.). “Epictetus”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/epictetus/ | 10
Spinoza, B. (1677). Ethics. | 10
Saatkamp, H., & Coleman, M. (n.d.). “George Santayana”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/santayana/ | 10
Lewis, W. (n.d.). “Louis Althusser”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/althusser/ | 10
Dennett, D. (2017). From Bacteria to Bach and Back. Allen Lane. | 10
Haraway, D. (1985). “A Cyborg Manifesto: Science, Technology, and Socialist-Feminism in the Late Twentieth Century,” in Simians, Cyborgs and Women: The Reinvention of Nature. Routledge. 1990. | 10
Oppy, G. (2013). The Best Argument Against God. New York: Palgrave-Macmillan. | 10
Hutton, S. (n.d.). “Lady Anne Conway”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/conway/ | 9
Gooch, T. (n.d.). “Ludwig Feuerbach”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/ludwig-feuerbach/ | 9
Beaney, M., & Chapman, S. (n.d.). “Susan Stebbing”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/stebbing/ | 9
Carey, R. (n.d.). “Bertrand Russell: Metaphysics”. The Internet Encyclopedia of Philosophy. https://iep.utm.edu/russ-met/ | 9
Benjamin, W. (1936). The work of art in the age of mechanical reproduction (J. A. Underwood, Trans.). Penguin Books. 2008. | 9
Yar, M. (n.d.). “Hannah Arendt”. The Internet Encyclopedia of Philosophy. https://iep.utm.edu/arendt/ | 9
Kenny, A. (2015). “Peter Thomas Geach”. Biographical Memoirs of Fellows of the British Academy, XIV, 185–203. | 9
Lutz, M. (n.d.). “Moral Naturalism”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/naturalism-moral/ | 9
Plantinga, A. (1974). God, Freedom, and Evil. Grand Rapids: Michigan. | 9
Jorati, J. (n.d.). “Gottfried Leibniz: Philosophy of Mind”. The Internet Encyclopedia of Philosophy. https://iep.utm.edu/lei-mind/ | 8
Tomaselli, S. (n.d.). “Mary Wollstonecraft”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/wollstonecraft/ | 8
Duquette, D. A. (n.d.). “Hegel: Social and Political Thought”. The Internet Encyclopedia of Philosophy. https://www.iep.utm.edu/hegelsoc/ | 8
Pomerleau, W. P. (n.d.). “William James”. The Internet Encyclopedia of Philosophy. https://iep.utm.edu/james-o/ | 8
Marmor, A. (n.d.). “The Pure Theory of Law”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/lawphil-theory/ | 8
Gramsci, A. (1929–1935). Selections from the prison notebooks. Translated and Edited by Q. Hoare and G. N. Smith. International Publishers. 1971. | 8
Johnston, A. (n.d.). “Jacques Lacan”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/lacan/ | 8
Fagan, A. (n.d.). “Theodor Adorno”. The Internet Encyclopedia of Philosophy. https://iep.utm.edu/adorno/ | 8
Hacker-Wright, J. (n.d.). “Philippa Foot”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/philippa-foot/ | 8
Musgrave, A., & Pigden, C. (n.d.). “Imre Lakatos”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/lakatos/ | 8
Gutting, G., & Oksala, J. (n.d.). “Michel Foucault”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/foucault/ | 8
Bohman, J. (n.d.). “Jürgen Habermas”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/habermas/ | 8
Harding, S. (1992). “Rethinking Standpoint Epistemology: What Is ‘Strong Objectivity?’”. In: The Centennial Review, 36, 1992, 3, 437-470. | 8
Hume, D. (1739). A Treatise of Human Nature. | 7
Murzi, M. (n.d.). “Jules Henri Poincaré (1854—1912)”. The Internet Encyclopedia of Philosophy. https://iep.utm.edu/poincare/ | 7
Duhem, P. (1906). The aim and structure of physical theory. Princeton, NJ: Princeton University Press. 1954. | 7
Thomas, E. (n.d.). “John McTaggart Ellis McTaggart”. The Internet Encyclopedia of Philosophy. https://iep.utm.edu/mctaggar/ | 7
Tarski, A. (1944). “The Semantic Conception of Truth: and the Foundations of Semantics”. Philosophy and Phenomenological Research, 4(3), 341-376. | 7
Giovannelli, A. (n.d.). “Goodman’s Aesthetics”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/goodman-aesthetics/ | 7
Wreen, M. (n.d.). “Beardsley’s Aesthetics”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/beardsley-aesthetics/ | 7
Richter, D. (n.d.). “G. E. M. Anscombe”. The Internet Encyclopedia of Philosophy. https://iep.utm.edu/anscombe/ | 7
Kleist, C. (n.d.). “Global Ethics: Capabilities Approach”. The Internet Encyclopedia of Philosophy. https://www.iep.utm.edu/ge-capab/ | 7
Cherem, M. (n.d.). “Jürgen Habermas (1929—)”. The Internet Encyclopedia of Philosophy. https://iep.utm.edu/habermas/ | 7
McGilvray, J. A. (n.d.). “Noam Chomsky”. Encyclopedia Britannica. https://www.britannica.com/biography/Noam-Chomsky | 7
Donovan, S. K. (n.d.). “Luce Irigaray”. The Internet Encyclopedia of Philosophy. https://iep.utm.edu/irigaray/ | 7
Fodor, J. (1983). The Modularity of Mind. The MIT Press. | 7
Parfit, D. (1984). Reasons and persons. Oxford: Oxford University Press. | 7
Chalmers, D. (1995). “Facing up to the problem of consciousness.” Journal of Consciousness Studies, 2(3), 200-19. | 7
Williams, T. (n.d.). “Anselm of Canterbury”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/anselm/ | 6
Thomas Aquinas. (1265-1273). Summa theologiae. | 6
Moran, K. (2022). Kant’s Ethics. Cambridge University Press. | 6
Reynolds, J. & Renaudie, P. (n.d.). “Jean-Paul Sartre”, The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/archives/sum2022/entries/sartre/ | 6
Beauvoir, S. (1949). Le deuxième sexe. Paris: Gallimard. | 6
Foot, P. (2001). Natural Goodness. Oxford Clarendon Press. | 6
Kuhn, T. (1962). The Structure of Scientific Revolutions. The University of Chicago Press. | 6
Fotion, N. (n.d.). “John Searle”. Encyclopædia Britannica. https://www.britannica.com/biography/John-Searle | 6
Van Fraassen, B. (1980). The Scientific Image. Oxford University Press. | 6
Hofstadter, D. (2007). I Am a Strange Loop. Basic Books. | 6
Butler, J. (1990). Gender trouble. Routledge. | 6
Ladyman, J. (2017). “An Apology for Naturalized Metaphysics”. In Matthew Slater & Zanja Yudell (eds.), Metaphysics and the Philosophy of Science. | 6
Machiavelli, N. (1513). The Prince. | 5
Bentham, J. (1789). An Introduction to the Principles of Morals and Legislation. | 5
Redding, P. (n.d.). “Georg Wilhelm Friedrich Hegel”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/hegel/ | 5
Austin, J. (1832). The Province of Jurisprudence Determined, W. Rumble (ed.), Cambridge: Cambridge University Press, 1995. | 5
Darwin, C. (1859). The Origin of Species. John Murray. | 5
Montague, M. (2017). “Intentionality: from Brentano to representationalism”. In Amy Kind (ed.), Philosophy of Mind in the Twentieth and Twenty-First Centuries: The History of the Philosophy of Mind, Volume 6. New York: Routledge. | 5
Huemer, W. (n.d.). “Franz Brentano”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/brentano/ | 5
Frege, G. (1918). “The thought: A logical inquiry”. | 5
Freud, S. (1927). The Future of an Illusion. | 5
Walsh, P. J. & Yoshimi, J. (2017). “Philosophy of Mind in the Phenomenological Tradition”. In Amy Kind (ed.), Philosophy of Mind in the Twentieth and Twenty-First Centuries: The History of the Philosophy of Mind, Volume 6. New York: Routledge. | 5
Eddington, A. (1928). The Nature of the Physical World. Cambridge University Press. | 5
MacBride, F., et al. (n.d.). “Frank Ramsey”. The Stanford Encyclopedia of Philosophy, Edward N. Zalta (ed.). https://plato.stanford.edu/entries/ramsey/ | 5
Ramos, V. (1982). “The concepts of ideology, hegemony, and organic intellectuals in Gramsci’s Marxism”. Theoretical Review, 27, March-April. | 5
Onof, C. J. (n.d.). “Jean Paul Sartre: Existentialism”. The Internet Encyclopedia of Philosophy. https://www.iep.utm.edu/sartre-ex/ | 5
Green, K. (2022). Simone de Beauvoir (Elements on Women in the History of Philosophy). Cambridge: Cambridge University Press. | 5
Mussett, S. (n.d.). “Simone de Beauvoir”. The Internet Encyclopedia of Philosophy. https://iep.utm.edu/beauvoir/ | 5
Merleau-Ponty, M. (1945). Phenomenology of perception. Translated by C. Smith. Routledge & Kegan Paul. 1962. | 5
Simpson, D. (n.d.). “Albert Camus”. The Internet Encyclopedia of Philosophy: https://iep.utm.edu/camus/ | 5
Camus, A. (1942). Le Mythe de Sisyphe. Éditions Gallimard. | 5
Moati, R. (2014). Derrida/Searle. Columbia University Press. | 5
Barthes, R. (1957). Mythologies. Hill and Wang: New York. 1972. | 5
Barthes, R. (1967). “The Death of the Author”. Image—Music—Text. Hill and Wang: New York. 1977. | 5
Rawls, J. (1971). A Theory of Justice. Harvard University Press. | 5
Woodward, A. (n.d.). “Jean-François Lyotard”. The Internet Encyclopedia of Philosophy. https://iep.utm.edu/lyotard/ | 5
Plantinga, A. (2000). Warranted Christian Belief. New York, US: Oxford University Press USA. | 5
Nagel, T. (2012). Mind and Cosmos. Oxford University Press. | 5
Green, M. S. (2005). “Kripke, Saul Aaron (1940– )” in Shook, J. R. & Hull, R. T. (eds.) The dictionary of modern American philosophers. Bristol: Thoemmes Continuum. | 5
Laudan, L. (1981). “A Problem-Solving Approach to Scientific Progress.” In Hacking, I. (ed.), Scientific Revolutions, pp. 144–55. Oxford: Oxford University Press. | 5
Dawkins, R. (1976). The Selfish Gene. Oxford University Press. | 5
